timestamp,source_ip,destination_ip,event_type,action,port,status,failed_login_attempts,request_frequency
2026-08-29 08:00:00,192.168.1.10,10.0.0.5,login,login,443,success,0,5
2026-08-29 08:01:00,192.168.1.11,10.0.0.5,login,login,443,success,0,4
2026-08-29 08:02:00,192.168.1.12,10.0.0.5,http,request,80,success,0,8
2026-08-29 08:03:00,192.168.1.13,10.0.0.5,http,request,80,success,0,6
2026-08-29 08:04:00,192.168.1.14,10.0.0.5,login,login,443,success,0,5
2026-08-29 08:05:00,192.168.1.15,10.0.0.5,http,request,80,success,0,7
2026-08-29 08:06:00,192.168.1.16,10.0.0.5,login,login,443,success,0,4
2026-08-29 08:07:00,192.168.1.17,10.0.0.5,http,request,80,success,0,9
2026-08-29 08:08:00,192.168.1.18,10.0.0.5,login,login,443,success,0,5
2026-08-29 08:09:00,192.168.1.19,10.0.0.5,http,request,80,success,0,6
2026-08-29 08:10:00,192.168.1.20,10.0.0.5,login,login,443,success,0,4
2026-08-29 08:11:00,192.168.1.21,10.0.0.5,http,request,80,success,0,8
2026-08-29 08:12:00,192.168.1.22,10.0.0.5,login,login,443,success,0,5
2026-08-29 08:13:00,192.168.1.23,10.0.0.5,http,request,80,success,0,7
2026-08-29 08:14:00,192.168.1.24,10.0.0.5,login,login,443,success,0,6
2026-08-29 08:15:00,192.168.1.25,10.0.0.5,http,request,80,success,0,5
2026-08-29 08:16:00,192.168.1.26,10.0.0.5,login,login,443,success,0,4
2026-08-29 08:17:00,192.168.1.27,10.0.0.5,http,request,80,success,0,8
2026-08-29 08:18:00,192.168.1.28,10.0.0.5,login,login,443,success,0,5
2026-08-29 08:19:00,192.168.1.29,10.0.0.5,http,request,80,success,0,7
2026-08-29 08:20:00,192.168.1.30,10.0.0.5,login,login,443,success,0,5
2026-08-29 08:21:00,192.168.1.31,10.0.0.5,http,request,80,success,0,6
2026-08-29 08:22:00,192.168.1.32,10.0.0.5,login,login,443,success,0,4
2026-08-29 08:23:00,192.168.1.33,10.0.0.5,http,request,80,success,0,9
2026-08-29 08:24:00,192.168.1.34,10.0.0.5,login,login,443,success,0,5
2026-08-29 08:25:00,192.168.1.35,10.0.0.5,http,request,80,success,0,7
2026-08-29 08:26:00,192.168.1.36,10.0.0.5,login,login,443,success,0,6
2026-08-29 08:27:00,192.168.1.37,10.0.0.5,http,request,80,success,0,5
2026-08-29 08:28:00,192.168.1.38,10.0.0.5,login,login,443,success,0,4
2026-08-29 08:29:00,192.168.1.39,10.0.0.5,http,request,80,success,0,8
2026-08-29 08:30:00,185.220.101.5,10.0.0.5,login,login,22,failed,15,120
2026-08-29 08:31:00,185.220.101.5,10.0.0.5,login,login,22,failed,18,150
2026-08-29 08:32:00,185.220.101.5,10.0.0.5,login,login,22,failed,25,200
2026-08-29 08:33:00,185.220.101.5,10.0.0.5,port_scan,scan,21,failed,3,180
2026-08-29 08:34:00,185.220.101.5,10.0.0.5,port_scan,scan,23,failed,4,220
2026-08-29 08:35:00,185.220.101.5,10.0.0.5,port_scan,scan,3389,failed,5,250
2026-08-29 08:36:00,10.99.88.77,10.0.0.5,http,request,8080,success,0,300
2026-08-29 08:37:00,10.99.88.77,10.0.0.5,http,request,8080,success,0,350
2026-08-29 08:38:00,10.99.88.77,10.0.0.5,login,login,22,failed,30,400
2026-08-29 08:39:00,10.99.88.77,10.0.0.5,login,login,22,failed,40,500

